rank,len,Temp
1,5.452713497030571,1
2,8.022021886510153,1
3,9.501608214173775,1
4,11.164151108113161,1
5,14.652435255764999,1
6,15.472216894850147,1
7,17.684475499641607,1
8,20.41704742350337,1
9,21.707218929010732,1
10,24.39572693067007,1
11,25.836867465496873,1
12,26.78049641686167,1
13,26.401769970826976,1
14,27.007227403242265,1
15,26.82253814349303,1
16,25.92441600276794,1
17,24.056202979867237,1
18,21.194468589739387,1
19,21.23498739217602,1
20,17.949118173023205,1
21,15.502145470447164,1
22,14.047096253098738,1
23,11.530017102210184,1
24,9.87124752651461,1
25,8.101371312348729,1
1,2.1605554302492265,2
2,1.6527345073876585,2
3,3.6103329995982407,2
4,5.026995153714088,2
5,5.4577163016328045,2
6,6.870349571073453,2
7,8.355085045306904,2
8,8.615790670842442,2
9,9.50651002448501,2
10,11.741793516754525,2
11,12.641128193283446,2
12,12.028528457933366,2
13,12.533422242522374,2
14,11.679943186885177,2
15,11.537239374527994,2
16,10.08152835150948,2
17,10.241603878410059,2
18,9.3545509488115,2
19,9.28272452936843,2
20,9.228980536946624,2
21,9.508327231028877,2
22,9.941533423848337,2
23,10.132431013845903,2
24,11.350876032388726,2
25,11.962721345647868,2
26,11.273162061531007,2
27,10.740561672919164,2
28,11.936500512129152,2
1,1.48486872939718,3
2,3.4344137085919604,3
3,3.3158514877282554,3
4,3.4703233168857657,3
5,4.897208814208997,3
6,5.969083145293248,3
7,7.073173755307543,3
8,7.93863418892076,3
9,8.831196808416294,3
10,9.508067949369288,3
11,10.492828420232769,3
12,9.754541932881947,3
13,9.413307704815915,3
14,9.570503699492788,3
15,8.857010278468666,3
16,7.834934689128172,3
17,7.808833741563783,3
18,7.466799649997596,3
19,8.335450982232663,3
20,8.273110979346464,3
21,8.770796890536655,3
22,9.193155812237332,3
23,9.813297427993184,3
24,9.792537323880708,3
25,9.964609935040503,3
26,10.21634016460354,3
27,9.289532586797616,3
28,7.781004157594474,3
29,6.5587335448434585,3
30,5.474463063309748,3
31,4.202921608069964,3
32,3.163938486226726,3
33,1.7222076817017515,3
34,1.7739844410445613,3
35,2.0827426760831758,3
1,1.4324509493092794,4
2,1.8806573700101248,4
3,1.9660820777608026,4
4,3.4857435644247112,4
5,4.651233739680419,4
6,5.372402635319167,4
7,6.611657611332054,4
8,7.698263914710256,4
9,7.83825545421156,4
10,6.675808320476911,4
11,7.989866713088349,4
12,6.456310021835277,4
13,6.433668185416431,4
14,6.619521560922887,4
15,3.6691197281489694,4
16,3.8645124606863535,4
17,1.8659212976246682,4
18,1.6995269577178995,4
19,0.1378845923504486,4
20,1.012263311615341,4
21,0.5744639226426871,4
22,1.4900123853212337,4
23,1.1474456092313057,4
24,1.1194898022119228,4
25,1.8144992985933346,4
26,2.5360262717424202,4
27,4.001967349953747,4
28,5.921178046915348,4
29,6.584734683115749,4
30,7.459453393176202,4
31,8.254241702345897,4
32,7.808442290053284,4
33,7.12970239727714,4
34,6.909552935737233,4
35,6.91134922320237,4
36,5.400719028459349,4
37,3.223580537931228,4
38,3.499930057649591,4
39,2.310232939829924,4
40,1.9908696783186839,4
41,1.329820878688936,4
42,0.0,4
43,1.0685250883441657,4
44,0.3743346037902022,4
45,0.13203711982795277,4
